,Authors,Publication.Year,Study,Class,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
27,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 3,,Malurus amabilis,vertebrate,grey,,blue,cheek,unknown,N/A,mature,both,captivity,year round,No,score,64,t,0.34,59.91,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055001002,0.126807887,0.055056564,0.12803688,7.810249676
28,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 2,,Malurus amabilis,vertebrate,blender,,blue,cheek,unknown,N/A,mature,both,captivity,year round,No,score,64,t,-2.47,59.62,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381860855,0.117376035,0.402236365,0.12803688,7.810249676
29,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 1,,Malurus amabilis,vertebrate,blender,,grey,cheek,unknown,N/A,mature,both,captivity,year round,No,score,64,t,-2.29,60,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355324209,0.118712495,0.371524217,0.12803688,7.810249676
30,"Pryke, SR; Griffith, SC",2009,Pryke and Griffith 2009,,Erythrura gouldiae,vertebrate,black,,red,face,carotenoid,N/A,juvenile,females,lab,year round,Plastic,time,76,F,14.32,1,75,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160322436,0.11474394,0.161717621,0.117041147,8.544003745
31,"Williams, LJ; King, AJ; Mettke-Hofmann, C",2012,Williams et al. 2012,,Erythrura gouldiae,vertebrate,red,,black,head,carotenoid,N/A,mature,both,captivity,year round,Plastic,score,40,mean,NA,NA,NA,,NA,20,2.103,NA,0.718,3.210993616,20,0.407,NA,0.222,0.992814182,0.077659894,0.161731498,0.077816586,0.164398987,6.08276253
32,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al. 2001 - 4,,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar brightness,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,33,r,NA,NA,NA,NS,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23,0.174790197,-0.234189467,0.182574186,5.477225575
33,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al. 2001 - 3,,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar hue,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,33,r,NA,NA,NA,0.001,-0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47,0.158531568,-0.510070337,0.182574186,5.477225575
34,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al. 2001 - 2,,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar chroma,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,33,r,NA,NA,NA,NS,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,0.17783646,-0.140925576,0.182574186,5.477225575
35,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al. 2001 - 1,,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar area,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,43,r,NA,NA,NA,0.001,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,0.118681784,-0.775298706,0.158113883,6.32455532
36,"Jawor, JM; Gray, N; Beall, SM; Breitwisch, R",2004,Jawor et al. 2004,,Cardinalis cardinalis,vertebrate,light brown,,dark brown,face,melanocortin,pheomelanin,mature,females,field,year round,No,,22,r,NA,NA,NA,0.05,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.221709269,0.13073985,0.229415734,4.358898944
