,Authors,Publication.Year,Study,Class,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
140,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 8,,Poecilia reticulata,vertebrate,light,,dark,eyes,unknown,N/A,juvenile,both,captivity,changing,Plastic,mutual display,33,X2,21.3,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803401858,0.106943677,1.108134162,0.182574186,5.477225575
141,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 7,,Poecilia reticulata,vertebrate,light,,dark,eyes,unknown,N/A,juvenile,both,captivity,changing,Plastic,display,12,X2,21.3,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.332291259,0.044609416,2.646652412,0.333333333,3
142,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 6,,Poecilia reticulata,vertebrate,light,,dark,eyes,unknown,N/A,juvenile,both,captivity,changing,Plastic,chase,61,X2,21.3,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590914823,0.105027815,0.679070549,0.131306433,7.615773106
143,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 5,,Poecilia reticulata,vertebrate,light,,dark,eyes,unknown,N/A,juvenile,both,captivity,changing,Plastic,nip,64,X2,21.3,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576899038,0.103735667,0.657802366,0.12803688,7.810249676
144,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 4,,Poecilia reticulata,vertebrate,light,,dark,eyes,unknown,N/A,juvenile,both,captivity,changing,Plastic,mutual display,27,X2,18.18,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.820568908,0.114309521,1.158556537,0.204124145,4.898979486
145,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 3,,Poecilia reticulata,vertebrate,light,,dark,eyes,unknown,N/A,juvenile,both,captivity,changing,Plastic,display,11,X2,18.18,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.285584409,0.047022453,2.646652412,0.353553391,2.828427125
146,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 2,,Poecilia reticulata,vertebrate,light,,dark,eyes,unknown,N/A,juvenile,both,captivity,changing,Plastic,chase,16,X2,18.18,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06595028,0.037701838,2.646652412,0.277350098,3.605551275
147,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 1,,Poecilia reticulata,vertebrate,light,,dark,eyes,unknown,N/A,juvenile,both,captivity,changing,Plastic,nip,11,X2,18.18,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.285584409,0.047022453,2.646652412,0.353553391,2.828427125
148,"Horth, L",2003,Horth 2003,,Gambusia holbrooki,vertebrate,silver,,black,body,melanocortin,eumelanin,mature,males,captivity,year round,No,time,8,t,2.74,7,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901597533,0.176598361,1.480691874,0.447213595,2.236067977
149,"Culumber, ZW; Monks, S",2014,Culumber and Monks 2014,Actinopterygii,Xiphophorus variatus,vertebrate,not yellow-red,,yellow-red,dorsal and caudal fin,carotenoid,N/A,mature,males,lab,year round,Plastic,attacks,65,X2,1.56,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154919334,0.124467118,0.156176847,0.127000127,7.874007874
