Authors,Publication Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression Units,Sample Size,Stat Test,Test Statistic,df1,df2,p-value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 1,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,,mature,males,captivity,year round,,vocal aggression score,31,mean,,,,,,14,-0.67,,0.36,1.346996659,17,0.11,,0.01,0.041231056
"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 2,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,,mature,males,captivity,year round,,physical aggression score,31,mean,,,,,,14,0.01,,0.31,1.15991379,17,0.01,,0.36,1.484318025
"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 3,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,,mature,females,captivity,year round,,vocal aggression score,31,mean,,,,,,14,0.2,,0.33,1.234746938,17,-0.01,,0.31,1.278162744
"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 4,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,,mature,females,captivity,year round,,physical aggression score,31,mean,,,,,,14,0.84,,0.34,1.272163512,17,-0.01,,0.59,2.432632319
"Horton, BM; Moore, IT; Maney, DL",2014,Horton et al 2014,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,,mature,males,captivity,year round,,territorial,30,t,4.2,29,,0.001,,,,,,,,,,,
"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 1,Ficedula hypoleuca,vertebrate,brown,,black,body,melanocortin,,mature,males,field,year round,,rank,36,r,,,,,-0.21,,,,,,,,,,
"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 2,Ficedula hypoleuca,vertebrate,brown,,black,body,melanocortin,,juvenile,males,field,year round,,rank,31,r,,,,,0.15,,,,,,,,,,
"Jawor, JM; Gray, N; Beall, SM; Breitwisch, R",2004,Jawor et al 2004,Cardinalis cardinalis,vertebrate,light brown,,dark brown,face,melanocortin,,mature,females,wild,year round,,,22,r,,,,0.05,0.13,,,,,,,,,,
"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011,Gallus gallus domesticus,vertebrate,white,,wild type,body,melanocortin,,both,males,domestic,year round,,,31,F,6.39,1,30,0.05,,,,,,,,,,,
"Kim, YK; Lee, SS; Oh, SI; Kim, JS; Suh, EH; Houpt, KA; Lee, HC; Lee, HJ; Yeon, SC",2010,Kim et al 2010,Canis lupus familiaris,vertebrate,white,,fawn,body,melanocortin,,both,both,domestic,year round,,,52,F,0.198,1,51,0.66,,,,,,,,,,,
"Korsten, P; Dijkstra, TH; Komdeur, J",2007,Korsten et al 2007,Cyanistes caeruleus ,vertebrate,reduced blue,,blue,head,unknown,,both,males,field,year round,,,8,t,3.66,7,,0.022,,,,,,,,,,,
"Korzan, WJ; Robison, RR; Zhao, S; Fernald, RD",2008,Korzan et al 2008,Astatotilapia burtoni ,vertebrate,blue,,yellow,body,melanocortin,,mature,males,lab,year round,,dominance index,16,t,3.1,15,,0.007,,,,,,,,,,,
"Lehtonen, TK",2014,Lehtonen 2014 - 1,Amphilophus sagittae,vertebrate,gold,,dark,body,melanocortin,,mature,males,field,breeding,,rate/5 min,80,F,1.044,1,80,0.31,,,,,,,,,,,
"Lehtonen, TK",2014,Lehtonen 2014 - 2,Amphilophus sagittae,vertebrate,gold,,dark,body,melanocortin,,mature,females,field,breeding,,rate/5 min,84,F,0.552,1,79,0.46,,,,,,,,,,,
"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 1,Serinus serinus,vertebrate,less yellow,,more yellow,head,carotenoid,,mature,males,captivity,non-breeding,,score (attacks + displays),28,F,9.977,1,17,0.005,,,,,,,,,,,
