"","Authors","Publication.Year","Study","Species","Vert_Invert","Color1","Color2","Color3","Pattern","Classification","Eu_Pheomelanin","Age","Sex","Location","Season","Plasticity","Aggression.Units","Sample.Size","Stat.Test","Test.Statistic","df1","df2","p.value","r","n1","mean1","var1","se1","sd1","n2","mean2","var2","se2","sd2","rho","SE_r","Fisher_Z","SE_Z","Weight"
"135","Collins, CE; Houtman, AM",1999,"Collins and Houtman 1999 - 1","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","full songs",41,"t",1.09,40,NA,"0.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212863185561739,0.156458339194169,0.216168518069535,0.162221421130763,6.16441400296898
"136","Collins, CE; Houtman, AM",1999,"Collins and Houtman 1999 - 2","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","pinked",41,"t",0.28,40,NA,"0.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055432285119596,0.159881948578288,0.0554891663257353,0.162221421130763,6.16441400296898
"137","Horton, BM; Hauber, ME; Maney, DL",2012,"Horton et al 2012 - 1","Zonotrichia albicollis","vertebrate","white","","tan","throat","melanocortin","pheomelanin","mature","males","captivity","year round","No","vocal aggression score",31,"mean",NA,NA,NA,"",NA,14,-0.67,NA,0.36,1.346996659,17,0.11,NA,0.01,0.041231056,-0.103491721597756,0.184698212709155,-0.103863598290239,0.188982236504614,5.29150262212918
"138","Horton, BM; Hauber, ME; Maney, DL",2012,"Horton et al 2012 - 2","Zonotrichia albicollis","vertebrate","white","","tan","throat","melanocortin","pheomelanin","mature","males","captivity","year round","No","physical aggression score",31,"mean",NA,NA,NA,"",NA,14,0.01,NA,0.31,1.15991379,17,0.01,NA,0.36,1.484318025,0,0.185695338177052,0,0.188982236504614,5.29150262212918
"139","Horton, BM; Hauber, ME; Maney, DL",2012,"Horton et al 2012 - 3","Zonotrichia albicollis","vertebrate","white","","tan","throat","melanocortin","pheomelanin","mature","females","captivity","year round","No","vocal aggression score",31,"mean",NA,NA,NA,"",NA,14,0.2,NA,0.33,1.234746938,17,-0.01,NA,0.31,1.278162744,0.0298212320273829,0.185612749833362,0.0298300768129547,0.188982236504614,5.29150262212918
"140","Horton, BM; Hauber, ME; Maney, DL",2012,"Horton et al 2012 - 4","Zonotrichia albicollis","vertebrate","white","","tan","throat","melanocortin","pheomelanin","mature","females","captivity","year round","No","physical aggression score",31,"mean",NA,NA,NA,"",NA,14,0.84,NA,0.34,1.272163512,17,-0.01,NA,0.59,2.432632319,0.111048347726826,0.184546813467304,0.111508228179132,0.188982236504614,5.29150262212918
"141","Horton, BM; Moore, IT; Maney, DL",2014,"Horton et al 2014","Zonotrichia albicollis","vertebrate","white","","tan","throat","melanocortin","pheomelanin","mature","males","captivity","year round","No","territorial",30,"t",4.2,29,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770779149644733,0.120401041534553,1.02224448770464,0.192450089729875,5.19615242270663
"142","Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,"Zinzow-Kramer et al 2015 - 1","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","songs per 10 min",19,"mean",NA,NA,NA,"",NA,10,23.516,NA,NA,19.68296296,9,1.733,NA,NA,7.089382716,0.238964622757129,0.235508949382914,0.243675741771763,0.25,4
"143","Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,"Zinzow-Kramer et al 2015 - 2","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","trills per 10 min",19,"mean",NA,NA,NA,"",NA,10,0,NA,NA,0.24691358,9,0,NA,NA,0.49382716,0,0.242535625036333,0,0.25,4
"144","Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,"Zinzow-Kramer et al 2015 - 3","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","chips per 10 min",19,"mean",NA,NA,NA,"",NA,10,20.846,NA,NA,41.38765432,9,16.172,NA,NA,19.32790123,0.0247784158214497,0.242461158818987,0.0247834887574427,0.25,4
"145","Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,"Zinzow-Kramer et al 2015 - 4","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","flights per 10 min",19,"mean",NA,NA,NA,"",NA,10,7.565,NA,NA,9.093333333,9,11.342,NA,NA,11.44197531,-0.087879318541479,0.241597285893974,-0.0881065966624517,0.25,4
"146","Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,"Zinzow-Kramer et al 2015 - 5","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","time in 5 m (min)",19,"mean",NA,NA,NA,"",NA,10,10.154,NA,NA,0.303703704,9,10.155,NA,NA,0.835555556,-0.000615098422553855,0.242535579155128,-0.000615098500127246,0.25,4
"147","Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,"Zinzow-Kramer et al 2015 - 6","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","time in 2 m (min)",19,"mean",NA,NA,NA,"",NA,10,7.168,NA,NA,4.40691358,9,6.047,NA,NA,4.021728395,0.0549036536484413,0.242169798089742,0.0549589210379789,0.25,4
"148","Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,"Zinzow-Kramer et al 2015 - 7","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","latency (min)",19,"mean",NA,NA,NA,"",NA,10,0.782,NA,NA,0.650864198,9,0.977,NA,NA,1.08345679,-0.0617217601615751,0.242073205301323,-0.0618003177078831,0.25,4
"149","Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,"Zinzow-Kramer et al 2015 - 8","Zonotrichia albicollis","vertebrate","white","","tan","head","melanocortin","pheomelanin","mature","males","field","year round","No","closest approach (m)",19,"mean",NA,NA,NA,"",NA,10,0.247,NA,NA,0.212839506,9,0.354,NA,NA,0.630617284,-0.0916100146025053,0.241515753380302,-0.0918675886523704,0.25,4
