,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
26,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 8,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,when disciplined,427,t,4.524,426,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 9,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,when reached for or handled,428,t,3.161,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Jawor, JM; Gray, N; Beall, SM; Breitwisch, R",2004,Jawor et al 2004,Cardinalis cardinalis,"Aullwood Audubon Center and Farm Dayton, Ohio, USA",vertebrate,light black,,dark black,face,melanocortin,eumelanin,dummy used,Exp,Covariate,Length and growth rate,mature,females,field,year round,No,Direct,attacks,22,t,2.09,21,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"BARLOW, GW; SIRI, P",1994,Barlow and Siri 1994,Cichlasoma citrinellum,"Lake Masaya, Nicaragua",vertebrate,grey,,golden,body,carotenoid,N/A,dummy used,Exp,Size matched,Weight and length,juvenile,both,captivity,year round,Plastic,Direct,attacks,36,F,0.769,1,27,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 1,Cichlasoma nigrofasciatum,Local Suppliers,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,isolated and videos,Exp,uncontrolled,None measured,mature,females,lab,year round,Plastic,Direct,approach,11,r,NA,NA,NA,NS,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 2,Cichlasoma nigrofasciatum,Local Suppliers,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,isolated and videos,Exp,uncontrolled,None measured,mature,females,lab,year round,Plastic,Direct,lateral display,11,r,NA,NA,NA,NS,-0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 3,Cichlasoma nigrofasciatum,Local Suppliers,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,isolated and videos,Exp,uncontrolled,None measured,mature,females,lab,year round,Plastic,Direct,frontal display,11,r,NA,NA,NA,0.005,-0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 4,Cichlasoma nigrofasciatum,Local Suppliers,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,isolated and videos,Exp,uncontrolled,None measured,mature,females,lab,year round,Plastic,Direct,bite,11,r,NA,NA,NA,0.02,-0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Yewers, MSC; Pryke, S; Stuart-Fox, D",2016,Yewers et al 2016,Ctenophorus decresii,"Yourambulla Caves Historic Reserve in the Flinders Ranges, South Australia, Australia",vertebrate,grey,yellow,orange,throat,carotenoid,N/A,dummy used,Exp,"Covariate (F1,28.2= 3.64, p = 0.067)",Weight and length,mature,males,field,year round,Plastic,Indirect,score,34,F,2.94,3,28.5,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Korsten, P; Dijkstra, TH; Komdeur, J",2007,Korsten et al 2007,Cyanistes caeruleus,"Estate of Vosbergen, Groningen, the Netherlands",vertebrate,reduced blue,,blue,head,structural,N/A,dummy and speaker,Exp,NS,Weight,both,males,field,year round,Plastic,Direct,attack,23,t,0.2,13.1,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
