,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
122,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 2,Sceloporus occidentalis,"Yosemite National Park, CA, USA",vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,reposition,30,t,3.221,14,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 3,Sceloporus occidentalis,"Yosemite National Park, CA, USA",vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,head-bob bouts,30,t,2.5,14,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 4,Sceloporus occidentalis,"Yosemite National Park, CA, USA",vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,fullshow bouts,30,t,2.42,14,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 5,Sceloporus occidentalis,"Yosemite National Park, CA, USA",vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,charge,30,t,2.213,14,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 6,Sceloporus occidentalis,"Yosemite National Park, CA, USA",vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,biting,30,t,2.04,14,NA,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 7,Sceloporus occidentalis,"Yosemite National Park, CA, USA",vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,rate of move toward,30,t,0.42,14,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,"Seddon, RJ; Hews, DK",2017,Seddon and Hews 2017,Sceloporus occidentalis,"Serria Nevada Mountains, CA, USA",vertebrate,white,,black,chest,melanocortin,eumelanin,new individuals,Exp,Size matched,Length,mature,males,field,year round,No,Indirect,physical contact/retreat (PC),78,F,22.42,1,57,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"Robertson, JM; Rosenblum, EB",2010,Robertson and Rosenblum 2010,Sceloporus undulatus,"Jornada Long-Term Ecological Research Station and White Sands National Monument, New Mexico",vertebrate,light,,dark,body,pteridine,N/A,new individual,Exp,Size matched,Length,mature,males,field,year round,No,Direct,seconds,40,mean,NA,NA,NA,,NA,20,27.528,NA,3.964,17.72754693,20,17.913,NA,3.776,16.88678537
130,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 1,Serinus serinus,"Coimbra, Portugal",vertebrate,less yellow,,more yellow,head,carotenoid,N/A,new individuals,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,Plastic,Indirect,score (attacks + displays),28,F,9.977,1,17,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 2,Serinus serinus,"Coimbra, Portugal",vertebrate,less yellow,,more yellow,chest,carotenoid,N/A,new individuals,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,Plastic,Indirect,score (attacks + displays),28,F,0.82,1,17,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 3,Serinus serinus,"Coimbra, Portugal",vertebrate,less yellow,,more yellow,throat,carotenoid,N/A,new individuals,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,Plastic,Indirect,score (attacks + displays),28,F,0.793,1,17,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 4,Serinus serinus,"Coimbra, Portugal",vertebrate,less yellow,,more yellow,belly,carotenoid,N/A,new individuals,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,Plastic,Indirect,score (attacks + displays),28,F,0.001,1,17,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"Mafli A, Kazumasa Wakamatsu, Alexandre Roulin",2011,Mafli et al 2011,Testudo hermanni,Local Suppliers,vertebrate,light,,dark,shell,melanocortin,pheomelanin,isolated,Exp,NS,Length,mature,males,captivity,year round,Plastic,Indirect,index,23,r,NA,NA,NA,0.0001,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"Bruinje, AC; Coelho, FEA; Paiva, TMA; Costa, GC",2019,Bruinje et al 2019,Tropidurus semitaeniatus,"Joao Camara, RN, Brazil",vertebrate,yellow,,black,chest,melanocortin,eumelanin,new individuals,Exp,Size matched,Length,mature,males,lab,breeding,No,Direct,head bouts,267,X2,5.69,1,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"Brown, DM; Lattanzio, MS",2018,Brown and Lattanzio 2018,Urosaurus graciosus,"Santa Cruz River, Gladden Farms, Marana, AZ, USA",vertebrate,yellow,,orange,throat,carotenoid,N/A,new individuals,Exp,"NS (t29 = 0.86, p = 0.4)",Length,mature,males,captivity,year round,No,Direct,winner,20,X2,5.4,1,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"McElroy, EJ; Marien, C; Meyers, JJ; Irschick, DJ",2007,McElroy et al 2007,Urosaurus ornatus,"Wet Beaver Creek, AZ, USA",vertebrate,orange,yellow,blue,ventral,structural,N/A,uncontrolled,Obs,uncontrolled,None measured,mature,males,field,year round,No,Direct,number of pushups per display,43,F,10.84,1,32,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"Taylor, JN; Lattanzio, MS",2016,Taylor and Lattanzio 2016,Urosaurus ornatus,"Appleton-Whittell Research Ranch, Elgin, AZ, USA",vertebrate,yellow,,blue,throat,structural,N/A,isolated,Exp,"Covariate (t = 0.4, df = 73.3, p = 0.69)",Weight over length,mature,males,captivity,year round,No,Indirect,score,76,mean,NA,NA,NA,,NA,41,3.6,NA,0.4,2.561249695,35,4.1,NA,0.5,2.958039892
139,"Collins, CE; Houtman, AM",1999,Collins and Houtman 1999 - 1,Zonotrichia albicollis,"Algonquin Provincial Park, Ontario, Canada",vertebrate,white,,tan,head,melanocortin,pheomelanin,speaker only,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,full songs,41,t,1.09,40,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"Collins, CE; Houtman, AM",1999,Collins and Houtman 1999 - 2,Zonotrichia albicollis,"Algonquin Provincial Park, Ontario, Canada",vertebrate,white,,tan,head,melanocortin,pheomelanin,speaker only,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,pinked,41,t,0.28,40,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 1,Zonotrichia albicollis,"Hemlock Stream Forest in Argyle, Maine, USA",vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,captivity,year round,No,Indirect,vocal aggression score,31,mean,NA,NA,NA,,NA,14,-0.67,NA,0.36,1.346996659,17,0.11,NA,0.01,0.041231056
142,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 2,Zonotrichia albicollis,"Hemlock Stream Forest in Argyle, Maine, USA",vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,captivity,year round,No,Indirect,physical aggression score,31,mean,NA,NA,NA,,NA,14,0.01,NA,0.31,1.15991379,17,0.01,NA,0.36,1.484318025
143,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 3,Zonotrichia albicollis,"Hemlock Stream Forest in Argyle, Maine, USA",vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,females,captivity,year round,No,Indirect,vocal aggression score,31,mean,NA,NA,NA,,NA,14,0.2,NA,0.33,1.234746938,17,-0.01,NA,0.31,1.278162744
144,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 4,Zonotrichia albicollis,"Hemlock Stream Forest in Argyle, Maine, USA",vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,females,captivity,year round,No,Indirect,physical aggression score,31,mean,NA,NA,NA,,NA,14,0.84,NA,0.34,1.272163512,17,-0.01,NA,0.59,2.432632319
145,"Horton, BM; Moore, IT; Maney, DL",2014,Horton et al 2014,Zonotrichia albicollis,"Hemlock Stream Forest, Bradley, Maine, USA",vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,captivity,year round,No,Indirect,territorial,30,t,4.2,29,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 1,Zonotrichia albicollis,"Hemlock Stream Forest, Argyle, Maine",vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,songs per 10 min,19,mean,NA,NA,NA,,NA,10,23.516,NA,NA,19.68296296,9,1.733,NA,NA,7.089382716
147,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 2,Zonotrichia albicollis,"Hemlock Stream Forest, Argyle, Maine",vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,trills per 10 min,19,mean,NA,NA,NA,,NA,10,0,NA,NA,0.24691358,9,0,NA,NA,0.49382716
148,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 3,Zonotrichia albicollis,"Hemlock Stream Forest, Argyle, Maine",vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,chips per 10 min,19,mean,NA,NA,NA,,NA,10,20.846,NA,NA,41.38765432,9,16.172,NA,NA,19.32790123
149,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 4,Zonotrichia albicollis,"Hemlock Stream Forest, Argyle, Maine",vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,flights per 10 min,19,mean,NA,NA,NA,,NA,10,7.565,NA,NA,9.093333333,9,11.342,NA,NA,11.44197531
150,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 5,Zonotrichia albicollis,"Hemlock Stream Forest, Argyle, Maine",vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,time in 5 m (min),19,mean,NA,NA,NA,,NA,10,10.154,NA,NA,0.303703704,9,10.155,NA,NA,0.835555556
151,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 6,Zonotrichia albicollis,"Hemlock Stream Forest, Argyle, Maine",vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,time in 2 m (min),19,mean,NA,NA,NA,,NA,10,7.168,NA,NA,4.40691358,9,6.047,NA,NA,4.021728395
152,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 7,Zonotrichia albicollis,"Hemlock Stream Forest, Argyle, Maine",vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,latency (min),19,mean,NA,NA,NA,,NA,10,0.782,NA,NA,0.650864198,9,0.977,NA,NA,1.08345679
153,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 8,Zonotrichia albicollis,"Hemlock Stream Forest, Argyle, Maine",vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,closest approach (m),19,mean,NA,NA,NA,,NA,10,0.247,NA,NA,0.212839506,9,0.354,NA,NA,0.630617284
