"","Authors","Publication.Year","Study","Species","Vert_Invert","Color1","Color2","Color3","Pattern","Classification","Eu_Pheomelanin","Age","Sex","Location","Season","Plasticity","Aggression.Units","Sample.Size","Stat.Test","Test.Statistic","df1","df2","p.value","r","n1","mean1","var1","se1","sd1","n2","mean2","var2","se2","sd2","rho","Fisher_Z","SE","Weight"
"35","Dale, S; Slagsvold, T",1996,"Dale and Slagsvold 1996","Ficedula hypoleuca","vertebrate","dull","","bright","body","melanocortin","eumelanin","mature","both","field","breeding","Plastic","response time",10,"F",5.02,2,73,"0.014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120905587668593,0,0,0
"36","HUHTA, E; ALATALO, RV",1993,"Huhta and Alatalo 1993 - 1","Ficedula hypoleuca","vertebrate","brown","","black","body","melanocortin","eumelanin","mature","males","field","year round","Plastic","rank",36,"r",NA,NA,NA,"",-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,0,0,0
"37","HUHTA, E; ALATALO, RV",1993,"Huhta and Alatalo 1993 - 2","Ficedula hypoleuca","vertebrate","brown","","black","body","melanocortin","eumelanin","juvenile","males","field","year round","Plastic","rank",31,"r",NA,NA,NA,"",0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0,0,0
"38","Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,"Karlsson et al 2011","Gallus gallus domesticus","vertebrate","white","","wild type","body","melanocortin","pheomelanin","both","males","domestic","year round","Plastic","",31,"F",6.39,1,30,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175597691673537,0,0,0
"39","Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,"Nie et al 2019 - 1","Gallus gallus domesticus","vertebrate","white","","red","body","carotenoid","N/A","mature","females","domestic","year round","No","chase and attack",10,"mean",NA,NA,NA,"",NA,5,40.6,NA,NA,6.8,5,24.8,NA,NA,12.89,0.608401833558372,0,0,0
"40","Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,"Nie et al 2019 - 2","Gallus gallus domesticus","vertebrate","white","","red","body","carotenoid","N/A","mature","females","domestic","year round","No","peak and threat",10,"mean",NA,NA,NA,"",NA,5,236.6,NA,NA,33.49,5,158.4,NA,NA,45.57,0.699116351015663,0,0,0
"41","O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,"O'Connor et al 2011","Gallus gallus domesticus","vertebrate","small","","large","comb","carotenoid","N/A","mature","females","domestic","year round","No","dominance score",120,"F",13.68,1,110,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110608020698577,0,0,0
"42","Horth, L",2003,"Horth 2003","Gambusia holbrooki","vertebrate","silver","","black","body","melanocortin","eumelanin","mature","males","captivity","year round","No","time",8,"t",2.74,7,NA,"0.029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.719370752019246,0,0,0
"43","Baube, CL",1997,"Baube 1997","Gasterosteus aculeatus","vertebrate","dull red","","bright red","body","carotenoid","N/A","mature","males","lab","breeding","Plastic","latency seconds",170,"X2",10.741,1,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251361001233637,0,0,0
"44","Tinghitella, RM; Lehto, WR; Minter, R",2015,"Tinghitella et al 2015 - 1","Gasterosteus aculeatus","vertebrate","red","","black","body","melanocortin","eumelanin","mature","males","captivity","year round","No","number of behaviors",10,"F",25.55,1,9.6,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.726884779516358,0,0,0
"45","Tinghitella, RM; Lehto, WR; Minter, R",2015,"Tinghitella et al 2015 - 2","Gasterosteus aculeatus","vertebrate","red","","black","body","melanocortin","eumelanin","mature","females","captivity","year round","No","number of behaviors",6,"F",5.06,1,4.8,"0.077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513184584178499,0,0,0
"46","Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,"Tinghitella et al 2018 - 1","Gasterosteus aculeatus","vertebrate","red","","black","body","melanocortin","eumelanin","mature","males","captivity","year round","No","approach, bite, chase",20,"X2",2.18,2,NA,"0.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330151480384384,0,0,0
"47","Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,"Tinghitella et al 2018 - 2","Gasterosteus aculeatus","vertebrate","red","","black","body","melanocortin","eumelanin","mature","males","captivity","year round","No","wins",20,"X2",0.46,1,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151657508881031,0,0,0
"48","Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,"Yong et al 2015 - 1","Gasterosteus aculeatus","vertebrate","no red","","red","throat","carotenoid","N/A","mature","females","captivity","breeding","No","bite rate",40,"F",0.25,1,39,">0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00636942675159236,0,0,0
"49","Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,"Yong et al 2015 - 2","Gasterosteus aculeatus","vertebrate","no red","","red","throat","carotenoid","N/A","mature","females","captivity","breeding","No","lunge",40,"F",1.46,1,39,">0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0360850222441918,0,0,0
"50","Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,"Yong et al 2015 - 3","Gasterosteus aculeatus","vertebrate","no red","","red","throat","carotenoid","N/A","mature","females","captivity","breeding","No","chase",40,"F",0.02,1,39,">0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000512557662737058,0,0,0
"51","Yong, LX; Lee, B; Mckinnon, JS",2018,"Yong et al 2018 - 1","Gasterosteus aculeatus","vertebrate","less red","","more red","throat","carotenoid","N/A","mature","females","captivity","breeding","No","bite rate",43,"F",0.127,1,38,"0.127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00333097280142681,0,0,0
